code,system
7700.11,readv2
7701.11,readv2
7701z11,readv2
7700300.0,readv2
H02.3,readv2
7700400.0,readv2
7701400.0,readv2
7701y00,readv2
7700y00,readv2
K37,readv2
H02.8,readv2
H01.9,readv2
H01.8,readv2
H02.9,readv2
7701.00,readv2
Jyu2000,readv2
J22..00,readv2
J22z.00,readv2
7701z00,readv2
K36,readv2
H02,readv2
H03,readv2
7700000.0,readv2
7700100.0,readv2
H01.1,readv2
H01.2,readv2
J20z100,readv2
J20..00,readv2
J220.00,readv2
J20z.00,readv2
K35,readv2
7700z00,readv2
7700.00,readv2
H01,readv2
J204.00,readv2
J202.00,readv2
J200.00,readv2
J203.00,readv2
J201.11,readv2
7702000.0,readv2
J201.00,readv2
J201.12,readv2
H03.1,readv2
J221.00,readv2
J21..00,readv2
J222.00,readv2
14C2.00,readv2
J223.00,readv2
16040.0,readv2
104722.0,readv2
15393.0,readv2
104496.0,readv2
29882.0,readv2
9388.0,readv2
3472.0,readv2
25856.0,readv2
698.0,readv2
37817.0,readv2
52383.0,readv2
16152.0,readv2
1999.0,readv2
15490.0,readv2
24325.0,readv2
17014.0,readv2
4130.0,readv2
16716.0,readv2
7210.0,readv2
35406.0,readv2
7702100.0,readv2
H03.2,readv2
7701000.0,readv2
H02.1,readv2
25J6.00,readv2
7701300.0,readv2
H02.2,readv2
59158.0,readv2
5692.0,readv2
9699.0,readv2
7832.0,readv2
662.0,readv2
33826.0,readv2
28587.0,readv2
3141.0,readv2
9206.0,readv2
60360.0,readv2
33538.0,readv2
10119.0,readv2
10830.0,readv2
29710.0,readv2
2394.0,readv2
29890.0,readv2
422.0,readv2
23344.0,readv2